c1,c2,c3,c4,x,y,z,tx,ty,tz
4.332327,5.460849,4.541657,5.628361,-0.6947403,0.1042745,-0.3062541,-0.690738,0.170022,-0.3095975
4.080578,5.634765,4.241729,5.752541,-0.9493179,0.2485547,-0.2212591,-0.9437162,0.316545,-0.2235241
3.652288,6.225665,3.130221,5.934474,-1.599335,0.839299,0.5856514,-1.588731,0.9234172,0.5901538
3.281193,7.596665,2.770864,7.390588,-2.947777,0.2889221,0.5144234,-2.933944,0.3398077,0.5147558
4.23425,5.165089,4.920405,5.74105,-0.5502052,0.2175336,-1.034115,-0.5468295,0.291846,-1.046919
3.181487,7.920601,2.187151,7.576126,-3.304111,0.6728065,0.8916092,-3.288379,0.7239524,0.8897046
5.122082,4.535831,4.446314,3.756028,0.3574829,1.660047,1.050286,0.3538725,1.903044,1.07767
6.20736,3.858945,5.663329,2.904037,1.489059,1.208099,1.064416,1.477491,1.324903,1.076337
4.750399,4.407409,4.902053,4.570458,0.1976814,0.7704772,-0.240653,0.1963148,0.8616241,-0.2439719
2.713586,6.268797,3.412147,6.601289,-2.009136,0.9649634,-0.7098503,-1.995891,1.04832,-0.7131993
3.801642,6.52902,3.652139,6.443116,-1.770367,0.07298596,0.1844864,-1.760977,0.1314249,0.1857271
4.655724,4.65132,4.578249,4.573771,0.002578735,0.86206,0.1175423,0.002561331,0.9583489,0.1192324
4.484241,4.966817,4.174835,4.689361,-0.2871895,1.005594,0.4398041,-0.2850535,1.112985,0.4465281
3.785506,5.496199,4.604091,6.08899,-0.9986458,0.3519263,-1.131516,-0.9923842,0.4288783,-1.1446
5.552804,3.980226,5.03121,3.212731,0.9462395,1.694212,0.9004459,0.9369645,1.923365,0.9200923
3.036825,6.237291,3.565498,6.511087,-1.866615,0.6825723,-0.5784281,-1.855093,0.7561668,-0.5817446
4.816111,4.904755,4.532119,4.626208,-0.05422211,0.651649,0.4365807,-0.05385566,0.7379397,0.4424704
7.775766,3.718134,7.355032,2.731023,2.928566,0.1817751,1.058172,2.914876,0.2325571,1.061006
5.296397,4.434064,5.073456,4.165221,0.527916,0.6103467,0.3805428,0.5244309,0.6932744,0.3853103
4.29884,4.246441,4.626527,4.577881,0.02822876,1.430981,-0.4777184,0.02798486,1.590895,-0.4874552
3.150413,5.148738,3.952507,5.675096,-1.046238,1.591381,-0.9319115,-1.036525,1.783535,-0.9495349
4.585467,5.235798,3.763222,4.533091,-0.4029484,1.477857,1.119181,-0.3991921,1.6659,1.144113
1.717623,7.152915,2.677692,7.442042,-3.032158,1.459922,-0.7081404,-3.013373,1.541524,-0.7033013
5.214779,3.421486,5.540728,3.900297,0.9757309,1.277319,-0.5759612,0.9679596,1.405869,-0.5842917
3.917949,5.849809,3.577947,5.627756,-1.187153,0.6970849,0.4205856,-1.179371,0.7791578,0.4247709
4.399459,6.644793,3.614702,6.153381,-1.558414,0.01839569,1.038906,-1.549877,0.08106184,1.048196
7.511051,1.950032,7.801544,2.872425,3.305147,0.9938519,-0.7451248,3.288329,1.050568,-0.7413666
3.857032,5.166836,4.255842,5.470987,-0.743865,0.7873926,-0.5325165,-0.7387187,0.8785449,-0.5392498
3.217171,5.285573,3.936874,5.752048,-1.108299,1.328959,-0.845768,-1.099193,1.465693,-0.8581307
3.266035,6.813955,2.309787,6.410781,-2.250946,1.246667,0.8860455,-2.235188,1.34103,0.8886444
7.616302,3.652586,7.217403,2.724746,2.80534,0.2597353,0.9836435,2.791667,0.3124969,0.9861912
5.218091,4.448397,5.047329,4.246799,0.4680929,0.5977808,0.2885296,0.4650146,0.6800271,0.2921558
6.443317,2.233745,6.57333,2.584948,2.301619,1.783872,-0.2820568,2.28292,1.953095,-0.2820567
5.010831,5.391446,4.604865,5.016377,-0.2489176,0.1014394,0.6429005,-0.2474537,0.1698401,0.6506087
3.923326,4.949845,4.675827,5.565235,-0.5733633,0.7472066,-1.063404,-0.56928,0.843938,-1.078479
3.316916,6.966733,3.07878,6.856554,-2.358312,0.363523,0.2531013,-2.34584,0.4219031,0.2538407
3.751984,6.10682,4.051314,6.295157,-1.459072,0.1187911,-0.3861122,-1.450991,0.1808193,-0.3892927
6.153171,3.442217,5.84913,2.863505,1.638064,1.258462,0.6031837,1.625791,1.370533,0.6081991
4.179255,4.904904,4.249642,4.965014,-0.4150153,0.9756037,-0.09746647,-0.4119939,1.078503,-0.09888053
3.670615,5.550378,3.980215,5.759809,-1.090489,0.6825591,-0.390709,-1.08333,0.7648138,-0.394783
5.836824,4.151895,5.263834,3.298129,1.060296,1.165708,1.045128,1.051893,1.288332,1.060096
7.233307,3.345726,6.754129,2.119297,2.587029,1.106331,1.115686,2.570428,1.183058,1.117077
6.134083,3.97581,6.162918,4.020154,1.371206,0.03550225,-0.05859756,1.363744,0.09596157,-0.05909634
5.367609,3.458808,5.793013,4.087924,1.060631,0.9347194,-0.7818108,1.052992,1.033796,-0.7912949
1.604613,6.895674,2.718832,7.236546,-2.831745,1.75754,-0.8074989,-2.810971,1.878408,-0.8028777
5.022371,3.751599,5.273514,4.081695,0.7022667,1.160406,-0.4245987,0.6968573,1.27842,-0.4309558
8.158598,3.767989,7.707088,2.652214,3.286785,0.1206752,1.191216,3.272811,0.1678572,1.193917
2.965291,5.607438,3.886457,6.144506,-1.426744,1.199548,-1.03987,-1.415651,1.31677,-1.051933
3.983804,4.941722,4.718694,5.551215,-0.5381393,0.690258,-1.051207,-0.5343701,0.7838427,-1.065895
5.692569,3.31279,6.141064,4.035083,1.348465,0.7393718,-0.8758488,1.339423,0.8245982,-0.8845534
2.271319,7.846822,1.91898,7.752175,-3.543118,1.264218,0.2486458,-3.525858,1.326927,0.2460676
4.294884,5.440362,3.480932,4.823733,-0.703474,1.50979,1.033291,-0.6969694,1.695647,1.054856
4.521019,5.24712,3.66274,4.528612,-0.4478283,1.647108,1.141243,-0.4432915,1.889431,1.170657
5.127638,3.28727,5.46281,3.788899,0.9768219,1.620494,-0.5806751,0.9679085,1.812658,-0.5916016
3.290987,6.469012,3.019525,6.335223,-1.950714,0.7825373,0.2842197,-1.938595,0.8579472,0.2855114
2.738372,7.256523,3.556607,7.603151,-2.836075,0.2603647,-0.85669,-2.822403,0.3124542,-0.8584631
4.332347,6.371299,3.777779,6.007981,-1.371592,0.03751636,0.7428436,-1.364014,0.09998202,0.7496029
4.316621,5.046577,4.411839,5.12826,-0.4300041,0.6137276,-0.1367874,-0.4271704,0.6963848,-0.1385174
4.057004,5.765193,3.236654,5.220546,-1.057472,1.329023,0.9819641,-1.048635,1.470124,0.9972259
